key,ra,dec,name,host,confirmed_real,confirmed_star_cluster,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf
ferrero_54,128.45125,-44.44694444,Ferrero 54,mw,1,1,,,,,,,,,,,,14.27,0.03,0.03,Garro2022A&A...659A.155G,,,,,56.06,3.17,3.17,,,,,Garro2023A&A...669A.136G,-1.33,0.27,0.27,1.31,0.34,0.34,Garro2022A&A...659A.155G,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,0.2,0.2,Garro2022A&A...659A.155G,,,,,7.1449632607551345,0.09803257108366736,0.0993963399947635,262.80294510673866,-2.570779205781068,-4.138121941227709,0.3216836097420257,-5.815751581033512,11.469239496272932,781.3493482410389,393.2181387830369,11.469239496272932,-0.2,0.2,0.2,photometric,-189.323196677873,-252.8901341624017,,,,,,,,,,,
fsr_0009,277.128,-31.907,FSR 0009,mw,0,0,,,,,,,,,,,,14.2,0.04,0.04,Garro2022A&A...658A.120G,10.8,,,Garro2022A&A...658A.120G,,,,,,,,,-1.39,1.1,1.1,-5.22,0.99,0.99,Garro2022A&A...658A.120G,,,,,,,,,,,,,,,,,,,,,,,11.0,2.0,2.0,Garro2022A&A...658A.120G,-1.2,0.3,0.3,Garro2022A&A...658A.120G,-3.3999999999999986,,,3.593029995663981,6.918309709189362,0.12627338301751934,0.12862098048210502,1.855817952685167,-9.529525188909018,-4.867577205820315,-1.6647027211296779,4.625847622642331,1.7486518698290698,778.9587360909887,390.8375344257567,1.7486518698290698,-1.2,0.3,0.3,photometric,,,,,,,,,,,,,
fsr_0019,263.91,-21.07,FSR 19,mw,0,0,0.9,0.07,0.07,,,,,,,,Obasi2021A&A...654A..39O,14.29,0.08,0.08,Obasi2021A&A...654A..39O,9.67,,,Obasi2021A&A...654A..39O,,,,,,,,,-2.5,0.76,0.76,-5.02,0.47,0.47,Obasi2021A&A...654A..39O,,,,,,,,,1.32,0.17,0.17,2.54,0.23,0.23,Obasi2021A&A...654A..39O,,,,,,,,11.0,,,Obasi2021A&A...654A..39O,-0.5,,,Obasi2021A&A...654A..39O,-4.619999999999999,,,4.081029995663981,7.21107479182899,0.26083161594102755,0.27062021328254726,5.498643206877244,6.070785725277689,-4.78611478474543,0.1701996126145605,5.391079392149457,1.422209737270135,779.4435624491596,391.32314137936083,1.422209737270135,-0.5,,,photometric,,,,,,,1.886934074885263,0.16095788066346906,0.1620254214878467,1.882211732771769,0.1595406780223403,0.16284203816943732,20.32395549405998
fsr_0025,265.43,-19.571,FSR 25,mw,0,0,0.87,0.17,0.19,,,,,,,,Obasi2021A&A...654A..39O,14.23,0.06,0.06,Obasi2021A&A...654A..39O,10.02,,,Obasi2021A&A...654A..39O,,,,,,,,,-2.61,1.27,1.27,-5.23,0.74,0.74,Obasi2021A&A...654A..39O,,,,,,,,,0.92,0.28,0.28,3.27,0.85,0.85,Obasi2021A&A...654A..39O,,,,,,,,11.0,,,Obasi2021A&A...654A..39O,-0.5,,,Obasi2021A&A...654A..39O,-4.210000000000001,,,3.917029995663982,7.014552984199714,0.1911660427830162,0.19652180762928406,7.534321351748245,5.649087710062106,-4.471615726452697,0.09622622442293749,5.403642001171001,1.6609580901003205,779.1302544152226,391.0092851066101,1.6609580901003205,-0.5,,,photometric,,,,,,,1.7790873217950063,0.36369906086046044,0.3704275331848308,1.7725423224345156,0.36742520302089754,0.3691196162634034,20.60359618328326
fsr_1700,234.71874999999994,-59.2675,FSR 1700,mw,0,0,2.39,0.08,0.08,,,,,,,,Saroon2024A&A...689A.115S,15.06,0.11,0.1,Saroon2024A&A...689A.115S,,,,,10.39,5.45,5.45,,,,,He2023ApJS..267...34H,-4.85,0.014,0.014,-4.03,0.013,0.013,Saroon2024A&A...689A.115S,,,,,,,,,2.37,0.14,0.14,8.96,0.35,0.35,Saroon2024A&A...689A.115S,,,,,,,,11.0,,,Saroon2024A&A...689A.115S,-0.8,0.2,0.2,Saroon2024A&A...689A.115S,,,,,10.280162981264747,0.5077907717066346,0.4844891550336037,322.8999799602879,-3.0501271127811123,-10.21782272402135,-0.6525782739415378,0.9230337470637059,6.216761191962806,784.9335547063978,396.8054842371496,6.216761191962806,-0.8,0.2,0.2,photometric,-127.68779509629486,-191.1967845575498,,,,,7.137516249693236,0.4193972866506721,0.4272426597138832,7.150696162317823,0.4096765195646066,0.4258533083820639,
fsr_1716,242.625,-53.7489,FSR 1716,mw,1,1,1.71,,,,,,,,,,Baumgardt2018MNRAS.478.1520B,14.355,,,Baumgardt2021MNRAS.505.5957B,9.57,0.11,0.11,Baumgardt2020PASA...37...46B,-30.3,1.2,1.2,2.5,0.9,0.9,,Koch2017A&A...605A.128K,-4.3537,0.0334,0.0334,-8.8318,0.0312,0.0312,Vasiliev2021MNRAS.505.5978V,-1.38,0.2,0.2,,,,,Koch2017A&A...605A.128K,,,,,,,,,,,,,,,,,,,,,,,-4.785,0.11,0.11,4.147029995663981,7.430191378967013,,,329.778083417266,-1.5925796150848042,-7.253833696757768,-0.3809283872631479,1.5635006209254694,4.113837598634726,782.247406441682,394.11247286840063,4.113837598634726,-1.38,0.2,0.2,spectroscopic,-142.94899921809943,-202.330033391262,21498.35275749358,12794.030230156637,18552.3869722049,,3.695917153063755,,,3.695917153063755,,,21.624224120950025
fsr_1758,262.8,-39.80833333,FSR 1758,mw,1,1,6.33,1.0,0.87,,,,,,,,Barba2019ApJ...870L..24B,15.224,,,Baumgardt2021MNRAS.505.5957B,6.8,0.06,0.06,Baumgardt2020PASA...37...46B,224.9,0.74,0.74,3.51,0.49,0.49,,RomeroColmenares2021A&A...652A.158R,-2.8815,0.0259,0.0259,2.5186,0.0255,0.0255,Vasiliev2021MNRAS.505.5978V,-1.43,0.08,0.08,,,,,RomeroColmenares2021A&A...652A.158R,3.0,0.24,0.24,46.8,13.2,13.2,Barba2019ApJ...870L..24B,,,,,,,,11.6,1.31,1.25,RomeroColmenares2021A&A...652A.158R,,,,,-8.424,0.06,0.06,5.602629995663982,11.086641389799572,,,349.2166325086512,-3.292387585471646,-9.402153172785956,-1.2757460991460559,5.734597188295056,3.501605363272937,782.9446985360079,394.84700989309283,3.501605363272937,-1.43,0.08,0.08,spectroscopic,191.22950229512713,151.18583673456175,231399.37847096944,65140.71295841926,83121.21604519861,,20.42850633484287,2.937213605590017,3.013779321469638,20.432177769286717,3.0709446591858907,2.994454226318382,21.698183996075322
fsr_1767,263.929,-36.358,FSR 1767,mw,0,0,1.38,0.34,0.34,,,,,,,,Bonatto2007MNRAS.381L..45B,15.12,0.04,0.04,Garro2022A&A...658A.120G,8.82,,,Garro2022A&A...658A.120G,,,,,,,,,-3.02,0.5,0.5,-4.85,0.5,0.5,Garro2022A&A...658A.120G,,,,,,,,,0.55,0.18,0.18,7.1,2.29,2.29,Bonatto2007MNRAS.381L..45B,,,,,,,,11.0,2.0,2.0,Garro2022A&A...658A.120G,-0.7,0.2,0.2,Garro2022A&A...658A.120G,-6.299999999999999,,,4.753029995663981,10.568175092136586,0.19289093395646084,0.19647704416176381,352.6006747421421,-2.166146249461374,-8.62629914855248,-1.0676481668571787,6.011107649139663,2.744991750546176,782.272035158817,394.17273773991366,2.744991750546176,-0.7,0.2,0.2,photometric,,,,,,,4.232991092098717,1.0408642486851005,1.05993868719926,4.241019545363821,1.0406106671731004,1.0113208966200418,20.407964415351756
fsr_1775,269.022,-36.566,FSR 1775,mw,0,0,,,,,,,,,,,,14.75,0.02,0.02,Garro2022A&A...658A.120G,9.15,,,Garro2022A&A...658A.120G,,,,,,,,,-3.0,0.8,0.8,-5.53,0.73,0.73,Garro2022A&A...658A.120G,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,2.0,Garro2022A&A...658A.120G,-1.1,0.2,0.2,Garro2022A&A...658A.120G,-5.6,,,4.473029995663981,8.91250938133746,0.08171037715182727,0.08246643396288711,354.5459271830187,-5.778952670492114,-7.065253013174121,-1.4817850134125163,5.226790268060148,1.4187260258552394,780.8740652508225,392.76388601740615,1.4187260258552394,-1.1,0.2,0.2,photometric,,,,,,,,,,,,,
fsr_1776,268.5595,-36.1524,FSR 1776,mw,1,1,,,,,,,,,,,Minniti2017RNAAS...1...16M,14.3,,,Dias2022A&A...657A..67D,,,,,-103.7,0.4,0.4,,,,,Dias2022A&A...657A..67D,-2.3,1.1,1.1,-2.6,0.8,0.8,Dias2022A&A...657A..67D,0.02,0.01,0.01,0.14,,,,Dias2022A&A...657A..67D,,,,,,,,,,,,,,,10.0,1.0,1.0,Dias2022A&A...657A..67D,0.2,0.2,0.2,Dias2022A&A...657A..67D,,,,,7.244359600749906,,,354.7200535319854,-5.250039778602265,-5.734699457233506,-1.140627924832402,4.277024210508467,1.3270773232629698,780.0139907311569,391.89130380006566,1.3270773232629698,0.02,0.01,0.01,spectroscopic,-114.12632040278424,-146.88882898421392,,,,,,,,,,,
gaia_1,101.47,-16.75,Gaia 1,mw,1,1,6.5,0.4,0.4,,,,,,,,Koposov2017MNRAS.470.2702K,13.25,,,Simpson2017MNRAS.471.4087S,8.3,0.1,0.1,Koposov2017MNRAS.470.2702K,58.3,0.22,0.22,0.94,0.15,0.15,,Simpson2017MNRAS.471.4087S,,,,,,,,-0.13,0.13,0.13,,,,,Simpson2017MNRAS.471.4087S,,,,,,,,,,,,,,,3.5,,,Simpson2017MNRAS.471.4087S,-0.7,,,Koposov2017MNRAS.470.2702K,-4.949999999999999,0.1,0.1,4.213029995663981,4.466835921509631,,,227.33827931939535,-8.747376847205569,0.0024442111826075553,-0.189184181414202,-4.4628271892403735,11.598221711504422,777.1526064785223,389.0177863672851,11.598221711504422,-0.13,0.13,0.13,spectroscopic,-130.02894389090943,-156.09746403799818,6922.447557219873,2043.5772887644298,2434.7526255235125,,8.455312703352906,0.5355611042312729,0.5276607212271713,8.434498839379993,0.5066357396461942,0.5189404082434219,23.250906995288386
gaia_2,28.124,53.04,Gaia 2,mw,0,0,1.9,0.34,0.4,,,,0.18,0.12,0.2,,Koposov2017MNRAS.470.2702K,13.6,0.1,0.1,Koposov2017MNRAS.470.2702K,11.6,0.1,0.1,Koposov2017MNRAS.470.2702K,-54.36,3.76,3.76,,,,,Garro2023A&A...669A.136G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,2.0,Koposov2017MNRAS.470.2702K,-0.6,,,Koposov2017MNRAS.470.2702K,-2.0,0.1,0.1,3.0330299956639815,5.248074602497724,0.23620226622499896,0.24733413607851862,132.14778089451616,-8.73572156686611,5.165662610215851,-0.8441910405649933,0.38152105817292936,12.24956645559153,771.2199598529821,383.07432467176125,12.24956645559153,-0.6,,,photometric,115.88184773812868,190.61927932029369,,,,,2.8983132413070996,0.5845099759299277,0.5792316416791965,2.542523925635491,0.5474234440125478,0.5773031180195187,23.59693823419765
garro_1,212.25,-65.62,Garro 1,mw,1,1,2.4,0.4,0.6,,,,,,,,Pace2023MNRAS.526.1075P,15.93,0.03,0.03,Garro2020A&A...642L..19G,10.67,1.0,1.0,Garro2020A&A...642L..19G,31.0,0.1,0.1,0.4,0.3,0.3,0.8,Pace2023MNRAS.526.1075P,-4.35,0.02,0.02,-1.09,0.02,0.02,Pace2023MNRAS.526.1075P,-0.3,0.03,0.03,,,,0.1,Pace2023MNRAS.526.1075P,1.8,0.5,0.7,,,,Pace2023MNRAS.526.1075P,,,,,,,,11.0,1.0,1.0,Garro2020A&A...642L..19G,-0.7,0.2,0.2,Garro2020A&A...642L..19G,-5.26,1.0,1.0,4.337029995663982,15.34616982799294,0.2105573436308692,0.21348648805781067,310.82776382117055,-3.9442655964010935,-15.210125946429715,-0.8571687918768501,-1.849934794953239,11.78472729871376,789.9255162293496,401.8085207047014,11.78472729871376,-0.3,0.03,0.03,spectroscopic,-146.52130013648247,-215.88110586813775,1540.5198353341211,1344.8049282389602,3186.848262228602,6376.763076963341,10.708516815614868,2.2122261626786894,2.3043960338360154,10.719071366792868,2.1649936555545715,2.2584127609310176,23.461398621068618
garro_2,271.475,-17.7,Garro 2,mw,0,0,1.58,0.47,0.44,,,,,,,,Garro2022A&A...662A..95G,13.74,0.31,0.31,Garro2022A&A...662A..95G,8.3,1.23,1.23,Garro2022A&A...662A..95G,,,,,,,,,-6.07,0.62,0.62,-6.15,0.75,0.75,Garro2022A&A...662A..95G,-1.3,0.2,,,,,,Garro2022A&A...662A..95G,1.25,0.27,0.27,7.13,3.83,3.83,Garro2022A&A...662A..95G,,,,,,,,12.0,2.0,2.0,Garro2022A&A...662A..95G,-1.3,0.2,0.2,Garro2022A&A...662A..95G,-5.4399999999999995,1.23,1.23,4.409029995663981,5.5975760149511045,0.7446910133298941,0.8589662753954519,12.047776175166755,1.6460995797999625,-3.235038150763491,-0.3427305366300427,4.555208138551069,2.9003737055722936,778.0291764535394,389.9001154423449,2.9003737055722936,-1.3,0.2,,spectroscopic,,,,,,,2.5191199790511583,0.7783181334315938,0.8705853888570854,2.5383028644570342,0.7838277676594116,0.8829174159507662,20.153330212549
gran_1,269.651,-32.02,ESO 456-29,mw,1,1,0.86,0.04,0.04,,,,,,,,Gran2022MNRAS.509.4962G,14.5,,,Gran2022MNRAS.509.4962G,9.14,,,Gran2022MNRAS.509.4962G,76.98,3.62,3.62,,,,,Gran2024A&A...683A.167G,-8.1628,0.0377,0.0377,-8.0453,0.0364,0.0364,Vasiliev2021MNRAS.505.5978V,-1.13,0.06,0.06,,,,,Gran2024A&A...683A.167G,,,,,,,,,,,,,,,,,,,-1.19,,,Gran2022MNRAS.509.4962G,-5.359999999999999,,,4.377029995663981,7.943282347242813,,,358.76705586017647,-3.9766566951750204,-5.944267900852146,-1.124348713766668,5.147548303879173,0.6102354751573192,780.0251482460549,391.90917871184183,0.6102354751573192,-1.13,0.06,0.06,spectroscopic,84.03449988251742,55.297049546838494,,,,,1.9869975381673393,0.09285459038162713,0.09311139784489697,1.987940191844587,0.09350175065306532,0.09392303982015848,19.70262968818725
gran_2,257.89,-24.849,Gran 2,mw,1,1,1.07,0.03,0.03,,,,,,,,Gran2022MNRAS.509.4962G,16.1,,,Gran2022MNRAS.509.4962G,10.18,,,Gran2022MNRAS.509.4962G,61.24,2.7,2.7,,,,,Gran2024A&A...683A.167G,0.19,,,-2.57,,,Gran2022MNRAS.509.4962G,-1.46,0.13,0.13,,,,,Gran2024A&A...683A.167G,,,,,,,,,,,,,,,,,,,-2.12,,,Gran2022MNRAS.509.4962G,-5.920000000000002,,,4.601029995663982,16.59586907437563,,,359.22926073531573,8.58611374685713,-12.221846687366984,1.2572045830113703,11.156557288015392,8.651703015790584,785.3562129361368,397.33020991993664,8.651703015790584,-1.46,0.13,0.13,spectroscopic,71.88912053997673,37.45050577300199,,,,,5.166721223622869,0.1453305811884258,0.1473561468192992,5.165528575680343,0.1451219612823671,0.14380597457792454,21.216186933936264
gran_3,256.256,-35.496,Gran 3,mw,1,1,1.7,0.2,0.2,,,,,,,,Pace2023MNRAS.526.1075P,15.4,,,Gran2022MNRAS.509.4962G,11.38,,,Garro2022A&A...659A.155G,90.9,0.4,0.4,1.9,0.3,0.3,,Pace2023MNRAS.526.1075P,-3.74,0.03,0.03,0.71,0.02,0.01,Pace2023MNRAS.526.1075P,-1.83,0.04,0.03,,,,0.16,Pace2023MNRAS.526.1075P,1.1,0.2,0.3,,,,Pace2023MNRAS.526.1075P,,,,,,,,,,,,-2.33,,,Gran2022MNRAS.509.4962G,-4.02,,,3.8410299956639813,12.02264434617413,,,349.75634919030284,3.4234819397860834,-10.134470978474218,0.0059565809412971404,6.468109428588859,4.320992132423057,783.9489458759188,395.85566011242616,4.320992132423057,-1.83,0.04,0.03,spectroscopic,60.438101790608926,17.49567268666823,19772.87234898432,6004.79547509242,7375.9360092590905,,5.927543444035404,0.6841686854201017,0.7198342850866064,5.93827764966154,0.7053725893849725,0.6927403615406336,23.418915483334597
gran_4,278.113,-23.114,Gran 4,mw,1,1,2.2,0.4,0.5,,,,,,,,Pace2023MNRAS.526.1075P,16.84,,,Gran2022MNRAS.509.4962G,10.39,,,Gran2022MNRAS.509.4962G,-266.4,0.2,0.2,1.4,0.2,0.2,,Pace2023MNRAS.526.1075P,0.51,0.01,0.01,-3.51,0.01,0.01,Pace2023MNRAS.526.1075P,-1.84,0.02,0.02,,,,0.1,Pace2023MNRAS.526.1075P,1.4,0.4,0.5,,,,Pace2023MNRAS.526.1075P,,,,,,,,,,,,-2.4,,,Gran2022MNRAS.509.4962G,-6.449999999999999,,,4.813029995663981,23.334580622810044,,,10.196415713236796,-6.388517430242356,-14.011941553880206,-4.614706196615344,18.07961928393369,15.483071773299049,783.3307901460191,395.49628723616854,15.483071773299049,-1.84,0.02,0.02,spectroscopic,-211.44134368367384,-224.7032336031733,26786.130342579138,8560.800155725206,10748.85420881437,,14.95915366451689,3.083171468345583,3.011674514905099,14.890920288294534,2.946949703272642,3.0892332354206253,22.98522056147396
