key,ra,dec,name,host,confirmed_real,confirmed_galaxy,rhalf,rhalf_em,rhalf_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,ref_structure,distance_modulus,distance_modulus_em,distance_modulus_ep,ref_distance,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,ref_vlos,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,ref_structure_king,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,ref_structure_sersic,age,age_em,age_ep,ref_age,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,M_V,M_V_em,M_V_ep,mass_stellar,distance,distance_em,distance_ep,ll,bb,sg_xx,sg_yy,sg_zz,distance_gc,distance_m31,distance_lg,distance_host,mass_HI,mass_HI_ul,metallicity,metallicity_em,metallicity_ep,metallicity_type,velocity_gsr,velocity_lg,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,surface_brightness_rhalf,distance_measurement_method
ddo_125,186.920417,43.495556,DDO 125,,1,1,1.1453,0.0547,0.0547,,,,0.55,0.02,0.02,,Carlsten2021ApJ...922..267C,27.06,0.05,0.05,McConnachie2012AJ....144....4M,12.95,0.09,0.09,Carlsten2021ApJ...922..267C,194.9,0.2,0.2,,,,,McConnachie2012AJ....144....4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.73,0.17,0.17,McConnachie2006MNRAS.365.1263M,,,,,,,,,,,,,,-14.11,0.09,0.09,7.88,2582.26,0.0,0.0,137.7580231,72.9422475,757.45,2454.23,266.66,2584.04,2762.6,2645.63,nan,,,-1.73,0.17,0.17,isochrone,247.97,239.49,,,,,859.47,40.46,40.83,576.53,30.34,29.91,23.26,
ddo_147,191.7495,36.4775,DDO 147,,1,1,0.673,0.0335,0.0335,,,,0.38,0.02,0.02,,Carlsten2021ApJ...922..267C,27.34,0.08,0.08,Tully2009AJ....138..323T,14.64,0.09,0.09,Carlsten2021ApJ...922..267C,331.0,,,,,,,Tully2009AJ....138..323T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,,,,Tully2009AJ....138..323T,,,,,,,,,-12.7,0.09,0.09,7.31,2937.65,0.0,0.0,128.406603,80.6035091,473.76,2872.39,393.31,2938.48,3193.76,3043.72,nan,7.46,,,,,,368.79,351.2,,,,,574.5,28.21,28.46,452.39,23.65,23.51,24.15,
ddo_190,216.1808333,44.52583333,DDO 190,,1,1,0.5015,0.024,0.024,,,,0.17,0.02,0.02,,Carlsten2021ApJ...922..267C,27.23,0.01,0.02,Newman2024ApJ...966..175N,13.07,0.09,0.09,Carlsten2021ApJ...922..267C,150.0,4.0,4.0,,,,,McConnachie2012AJ....144....4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,0.08,0.08,McConnachie2006MNRAS.365.1263M,,,,,,,,,,,,,,-14.16,0.09,0.09,7.9,2792.54,0.0,0.0,82.0085345,64.4771269,683.91,2395.74,1261.35,2792.07,2914.23,2827.52,nan,,,-2.0,0.08,0.08,isochrone,262.59,263.44,,,,,406.97,19.21,19.39,370.73,18.03,18.3,22.26,trgb
eso_006-001,124.8470833,-85.14555556,ESO 006-001,,1,1,0.2833,0.025,0.025,,,,0.11,,,,Makarova2023ApJ...943..139M,27.16,0.09,0.09,Makarova2023ApJ...943..139M,14.75,,,Makarova2023ApJ...943..139M,319.0,57.0,57.0,,,,,Makarova2023ApJ...943..139M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.5,0.2,0.2,Makarova2023ApJ...943..139M,0.75,,,,Makarova2023ApJ...943..139M,,,,,,,,,-12.41,,,7.2,2703.96,0.0,0.0,297.9558393,-25.2234619,-2307.06,-1055.78,-934.99,2700.52,3283.6,2982.61,nan,6.11,,-1.5,0.2,0.2,isochrone,124.9,69.85,,,,,222.42,19.37,19.55,209.83,18.28,18.45,22.77,
eso_274-001,228.55625,-46.8125,ESO 274-001,ngc_5128,1,1,,,,,,,0.9,,,,Karachentsev2013AJ....145..101K,27.18,0.08,0.08,Tully2009AJ....138..323T,8.96,,,Tully2009AJ....138..323T,522.0,,,,,,,Tully2009AJ....138..323T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,,Tully2009AJ....138..323T,,,,,,,,,-18.22,,,9.52,2728.98,0.0,0.0,326.8039911,9.3341415,-2656.42,391.34,487.43,2722.28,3436.24,3078.43,1435.85,8.31,,,,,,401.23,334.73,,,,,,,,,,,,
eso_294-g010,6.6395,-41.8559,ESO 294-G010,ngc_0055,1,1,0.4577,0.023,0.023,,,,0.46,0.02,0.02,,Carlsten2021ApJ...922..267C,26.54,0.04,0.04,McConnachie2012AJ....144....4M,14.62,0.09,0.09,Carlsten2021ApJ...922..267C,106.9,0.8,0.8,,,,,Bouchard2005AJ....130.2058B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.48,0.17,0.17,McConnachie2006MNRAS.365.1263M,0.342,0.017,0.017,,Bouchard2005AJ....130.2058B,,,,,,,,,-11.92,0.09,0.09,7.0,2032.36,0.0,0.0,320.4139702,-74.4171349,-545.19,-1948.95,-186.69,2030.69,2087.95,2023.45,156.22,5.52,,-1.48,0.17,0.17,isochrone,60.03,70.83,,,,,270.29,13.4,13.52,198.61,10.58,10.53,23.14,
eso_410-g005,3.8813,-32.1811,ESO 410-G005,ngc_0055,1,1,0.4778,0.023,0.023,,,,0.3,0.02,0.02,,Carlsten2021ApJ...922..267C,26.42,0.04,0.04,McConnachie2012AJ....144....4M,14.28,0.09,0.09,Carlsten2021ApJ...922..267C,158.9,1.9,1.9,,,,,Bouchard2005AJ....130.2058B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.93,0.2,0.2,McConnachie2006MNRAS.365.1263M,0.84,0.03,0.03,,Putman2021ApJ...913...53P,,,,,,,,,-12.14,0.09,0.09,7.09,1923.09,0.0,0.0,357.8395792,-80.7103356,-236.16,-1908.52,-8.66,1921.8,1861.08,1852.11,236.07,5.86,,-1.93,0.2,0.2,isochrone,151.81,176.08,,,,,267.04,12.68,12.79,223.43,11.15,11.14,23.18,
gr_8,194.6663,14.2178,GR 8,,1,1,0.474,0.0237,0.0237,,,,0.39,0.02,0.02,,Carlsten2021ApJ...922..267C,26.69,0.12,0.12,McConnachie2012AJ....144....4M,14.64,0.09,0.09,Carlsten2021ApJ...922..267C,213.9,2.5,2.5,,,,,Young2003ApJ...592..111Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74,,,,Young2003ApJ...592..111Y,,,,,,,,,-12.05,0.09,0.09,7.05,2177.71,0.0,0.0,310.7289689,76.980008,-487.33,2115.08,177.17,2176.53,2693.47,2418.24,nan,7.04,,,,,,181.45,136.25,,,,,299.95,14.77,14.91,234.3,12.33,12.2,23.37,
hedgehog_dw1322m2053,200.69533,-20.898872,Hedgehog,,0,0,0.2517,0.0133,0.0133,,,,0.22,0.03,0.03,,Li2024ApJ...975L..23L,26.9,0.13,0.13,Li2024ApJ...975L..23L,17.07,0.16,0.16,Li2024ApJ...975L..23L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25166666666666665,0.013333333333333334,0.013333333333333334,0.56,0.03,0.03,Li2024ApJ...975L..23L,,,,,,,,,,,,0.73,Li2024ApJ...975L..23L,,,,,,,,,-9.83,0.16,0.16,6.17,2398.83,0.0,0.0,312.7044712,41.3773561,-1794.05,1592.15,29.03,2394.71,3131.85,2762.37,nan,,6.0,,,,,,,,,,,175.42,9.17,9.25,154.93,8.7,8.65,24.69,
hizss_3a,105.1220833,-4.208333333,HIZSS 3A,,0,0,,,,,,,,,,,,26.12,0.14,0.14,McConnachie2012AJ....144....4M,,,,,288.0,2.5,2.5,,,,,McConnachie2012AJ....144....4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.18,3.03,3.03,,Putman2021ApJ...913...53P,,,,,,,,,,,,,1674.94,0.0,0.0,217.708123,0.0905337,281.11,184.39,-1640.86,1681.38,1919.56,1759.09,nan,7.15,,,,,,127.59,108.47,,,,,,,,,,,,
hizss_3b,105.1220833,-4.208333333,HIZSS 3B,,0,0,,,,,,,,,,,,26.12,0.14,0.14,McConnachie2012AJ....144....4M,,,,,322.6,1.4,1.4,,,,,McConnachie2012AJ....144....4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.93,0.45,0.45,,Putman2021ApJ...913...53P,,,,,,,,,,,,,1674.94,0.0,0.0,217.708123,0.0905337,281.11,184.39,-1640.86,1681.38,1919.56,1759.09,nan,6.41,,,,,,162.19,143.07,,,,,,,,,,,,
ic_1613,16.1991667,2.117777778,IC 1613,,1,1,7.57,0.05,0.05,90.49,1.02,1.02,0.2,0.05,0.05,,Higgs2021MNRAS.503..176H,24.32,0.05,0.05,Savino2022ApJ...938..101S,9.2,0.1,0.1,McConnachie2012AJ....144....4M,-231.6,1.2,1.2,10.8,0.9,1.0,,Kirby2014MNRAS.439.1015K,0.04,0.02,0.02,0.01,0.01,0.01,Battaglia2022A&A...657A..54B,-1.19,0.01,0.01,0.37,,,,Kirby2013ApJ...779..102K,,,,,,,,7.57,0.05,0.05,0.43,0.02,0.02,Higgs2021MNRAS.503..176H,,,,,,,,,484.0,52.1,52.1,,Putman2021ApJ...913...53P,,,,,,,,,-15.12,0.1,0.1,8.28,731.14,0.0,0.0,129.7377976,-60.5773205,355.99,-638.22,-22.69,733.73,510.67,497.04,nan,7.79,,-1.19,0.01,0.01,spectroscopic,-149.65,-88.3,8.19,0.08,0.08,,1609.77,10.48,10.57,1439.78,46.1,45.3,24.24,
ic_3104,184.6916667,-79.72611111,IC 3104,,1,1,2.01,,,45.0,2.0,2.0,0.52,0.02,0.02,,McConnachie2012AJ....144....4M,26.78,0.18,0.18,McConnachie2012AJ....144....4M,12.49,,,McConnachie2012AJ....144....4M,429.0,4.0,4.0,,,,,McConnachie2012AJ....144....4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.29,,,7.95,2269.86,0.0,0.0,301.4139777,-16.9507838,-2087.6,-592.05,-666.1,2265.83,2917.47,2584.81,nan,,,,,,,232.67,170.22,,,,,1327.16,,,919.48,,,24.1,
ic_4662,266.7866667,-64.64166667,IC 4662,,1,1,0.48,0.05,0.05,-69.0,4.0,4.0,0.27,0.01,0.01,,McConnachie2012AJ....144....4M,26.94,0.17,0.17,McConnachie2012AJ....144....4M,11.1,0.3,0.3,McConnachie2012AJ....144....4M,302.0,3.0,3.0,,,,,McConnachie2012AJ....144....4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.34,0.13,0.13,McConnachie2006MNRAS.365.1263M,,,,,,,,,,,,,,-15.84,0.3,0.3,8.57,2443.43,0.0,0.0,328.5486164,-17.8496506,-2281.69,-794.05,365.71,2436.84,3021.11,2719.92,nan,,,-1.34,0.13,0.13,isochrone,188.11,139.01,,,,,340.43,35.02,35.34,290.83,29.95,30.37,20.05,
ic_5152,330.6735,-51.2963,IC 5152,,1,1,1.3247,0.0622,0.0622,,,,0.47,0.02,0.02,,Carlsten2021ApJ...922..267C,26.45,0.05,0.05,McConnachie2012AJ....144....4M,10.39,0.09,0.09,Carlsten2021ApJ...922..267C,122.0,2.0,2.0,,,,,McConnachie2012AJ....144....4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.11,4.46,4.46,,Putman2021ApJ...913...53P,,,,,,,,,-16.06,0.09,0.09,8.66,1949.84,0.0,0.0,343.9189919,-50.1922504,-1116.69,-1550.18,389.67,1944.86,2207.44,2046.14,nan,7.94,,,,,,80.41,72.96,,,,,750.6,34.74,35.06,546.41,27.56,27.3,21.2,
kk_153,188.7570833,58.3866111,KK 153,,1,1,0.3667,,,,,,,,,,Xu2025ApJ...982L..36X,26.51,1.11,1.34,Xu2025ApJ...982L..36X,17.06,,,Xu2025ApJ...982L..36X,127.5,0.2,0.2,,,,,Xu2025ApJ...982L..36X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5534,0.0502,0.0502,,Xu2025ApJ...982L..36X,,,,,,,,,-9.45,,,6.01,2004.47,0.0,0.0,127.0605366,58.609906,1027.2,1680.13,374.07,2007.04,2024.35,1976.69,nan,5.72,,,,,,232.18,244.71,,,,,213.8,,,213.8,,,25.77,btfr
kk_258,340.1829167,-30.79972222,KK 258,,1,1,1.6,,,,,,0.5,,,,Karachentsev2004AJ....127.2031K,26.85,0.07,0.07,Karachentsev2014MNRAS.443.1281K,16.24,,,Karachentsev2014MNRAS.443.1281K,92.0,5.0,5.0,,,,,Karachentsev2014MNRAS.443.1281K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.61,,,6.48,2344.23,0.0,0.0,17.7288638,-61.2774225,-557.16,-2151.08,746.89,2340.52,2302.7,2290.92,nan,,,,,,,127.02,149.85,,,,,1091.05,,,771.49,,,27.4,
kkh_86,208.6397,4.2444,KKH 86,,1,1,0.2757,0.0158,0.0158,,,,0.43,0.02,0.02,,Carlsten2021ApJ...922..267C,27.06,0.16,0.16,McConnachie2012AJ....144....4M,16.41,0.09,0.09,Carlsten2021ApJ...922..267C,287.2,0.7,0.7,,,,,McConnachie2012AJ....144....4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.33,0.29,0.29,McConnachie2006MNRAS.365.1263M,,,,,,,,,,,,,,-10.65,0.09,0.09,6.49,2582.26,0.0,0.0,339.045484,62.6036984,-1104.19,2230.4,688.57,2578.78,3151.77,2854.84,nan,,,-2.33,0.29,0.29,isochrone,259.23,208.74,,,,,206.82,11.72,11.83,156.15,9.33,9.33,23.89,
kkh_98,356.3916667,38.71777778,KKH 98,,1,1,0.64,0.06,0.06,-5.0,1.0,1.0,0.41,0.01,0.01,,McConnachie2012AJ....144....4M,27.01,0.09,0.09,McConnachie2012AJ....144....4M,15.2,0.3,0.3,McConnachie2012AJ....144....4M,-136.9,1.0,1.0,,,,,McConnachie2012AJ....144....4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.94,0.25,0.25,McConnachie2006MNRAS.365.1263M,,,,,,,,,,,,,,-11.81,0.3,0.3,6.96,2523.48,0.0,0.0,109.0931464,-22.3773711,2055.0,-1076.55,992.96,2525.95,1768.56,2144.14,nan,,,-1.94,0.25,0.25,isochrone,70.85,151.56,,,,,468.88,43.4,43.79,360.12,33.5,33.99,24.54,
kkr_03,211.79375,35.06027778,KKR 3,,1,1,0.36,0.04,0.04,0.0,1.0,1.0,0.05,0.01,0.01,,McConnachie2012AJ....144....4M,26.7,0.12,0.12,McConnachie2012AJ....144....4M,17.2,0.3,0.3,McConnachie2012AJ....144....4M,63.3,1.8,1.8,,,,,McConnachie2012AJ....144....4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.02,0.25,0.25,McConnachie2006MNRAS.365.1263M,,,,,,,,,,,,,,-9.5,0.3,0.3,6.03,2187.76,0.0,0.0,63.7098664,71.9922108,190.28,1996.5,874.11,2186.66,2459.99,2295.27,nan,,,-2.02,0.25,0.25,isochrone,140.54,127.33,,,,,228.58,25.08,25.31,222.74,24.42,24.79,25.81,
kkr_25,243.45,54.37111111,KKR 25,,1,1,0.4,0.06,0.06,,,,0.41,0.02,0.02,,McConnachie2012AJ....144....4M,26.42,0.07,0.07,McConnachie2012AJ....144....4M,15.9,0.2,0.2,Karachentsev2001A&A...379..407K,-139.5,1.0,1.0,,,,,McConnachie2012AJ....144....4M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1,0.3,0.3,Karachentsev2001A&A...379..407K,,,,0.7,Putman2021ApJ...913...53P,,,,,,,,,-10.52,0.2,0.2,6.44,1923.09,0.0,0.0,83.87891,44.4083527,817.34,1215.99,1245.64,1922.49,1868.5,1855.84,nan,,5.79,-2.1,0.3,0.3,isochrone,41.38,67.42,,,,,223.07,33.07,33.37,171.27,25.53,25.89,24.22,
kks_03,36.185,-73.51417,KKs 3,,1,1,2.45,,,,,,0.6,,,,Karachentsev2013AJ....145..101K,26.63,0.07,0.07,Karachentsev2015MNRAS.447L..85K,15.33,,,Karachentsev2015MNRAS.447L..85K,316.0,7.0,7.0,,,,,Karachentsev2015AN....336..707K,,,,,,,,-1.9,,,,,,,Karachentsev2015MNRAS.447L..85K,,,,,,,,,,,,,,,,,,,,,,,,,,0.474,Karachentsev2013AJ....145..101K,,,,,,,,,-11.3,,,6.75,2118.36,0.0,0.0,294.2351991,-42.001948,-1447.61,-1340.81,-770.78,2115.9,2556.71,2315.47,nan,,5.7,-1.9,,,spectroscopic,148.3,112.4,,,,,1509.71,,,954.82,,,27.17,
